Designator,Val,Package,MID X,MID Y,Rotation,Layer
"C1","0.1uF","C_1206_3216Metric",99.450000,-101.850000,90.000000,top
"C2","0.33uF","C_1206_3216Metric",129.946400,-99.161600,0.000000,top
"D1","PMEG3005ET-QR","SOT23",120.396000,-97.078800,90.000000,top
"D2","KA-3528SGT","WL-SMTW_3528",104.530000,-85.670000,0.000000,top
"D3","BZX84C15","SOT-23",124.925000,-106.337500,90.000000,top
"D4","BZD27C24P R3G","SODFL3618X143N",120.014400,-92.506800,0.000000,top
"IC1","UCC23513QDWYRQ1","SOIC127P1150X355-6N",117.170000,-84.400000,0.000000,top
"J1","Conn_01x02_Pin","PinSocket_1x02_P2.00mm_Vertical",99.560000,-94.680000,0.000000,top
"J2","Conn_01x02_Pin","PinSocket_1x02_P2.00mm_Vertical",136.042400,-96.129600,0.000000,top
"R1","130R","R_1206_3216Metric",105.730000,-92.630000,0.000000,top
"R2","130R","R_1206_3216Metric",105.730000,-96.660000,0.000000,top
"R3","1.1k","R_1206_3216Metric",105.472500,-101.150000,0.000000,top
"TP1","TestPoint","Pin_D0.9mm_L10.0mm_W2.4mm_FlatFork",112.530000,-92.400000,0.000000,top
"TP2","TestPoint","Pin_D0.9mm_L10.0mm_W2.4mm_FlatFork",112.680000,-98.310000,0.000000,top
"TP3","TestPoint","Pin_D0.9mm_L10.0mm_W2.4mm_FlatFork",113.050000,-103.620000,0.000000,top
"U1","STP55NF06L","TO254P1040X460X1935-3",118.540000,-109.400000,180.000000,top
"U2","MC7815CDTRKG","DPAK229P990X238-4N",129.387600,-90.525600,0.000000,top
