"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1","0.1uF","~","Capacitor_SMD:C_1206_3216Metric","1",""
"C2","0.33uF","~","Capacitor_SMD:C_1206_3216Metric","1",""
"D1","PMEG3005ET-QR","https://4donline.ihs.com/images/VipMasterIC/IC/NEXP/NEXP-S-A0006011439/NEXP-S-A0006011439-1.pdf?hkey=6D3A4C79FDBF58556ACFDE234799DDF0","BAS70-7:SOT23","1",""
"D2","KA-3528SGT","https://docs.rs-online.com/8ff7/0900766b80026daa.pdf","WL-SMTW_3528:WL-SMTW_3528","1",""
"D3","BZX84C15","https://4donline.ihs.com/images/VipMasterIC/IC/ZETX/ZETXS01975/ZETXS01975-1.pdf?hkey=6D3A4C79FDBF58556ACFDE234799DDF0","Package_TO_SOT_SMD:SOT-23","1",""
"D4","BZD27C24P R3G","https://www.farnell.com/datasheets/2357974.pdf","BZD27C10P:SODFL3618X143N","1",""
"IC1","UCC23513QDWYRQ1","https://www.ti.com/lit/ds/symlink/ucc23513-q1.pdf?ts=1619871207992&ref_url=https%253A%252F%252Feu.mouser.com%252F","UCC23513QDWYRQ1:SOIC127P1150X355-6N","1",""
"R1,R2","130R","~","Resistor_SMD:R_1206_3216Metric","2",""
"R3","1.1k","~","Resistor_SMD:R_1206_3216Metric","1",""
"U1","STP55NF06L","","STP55NF06L:TO254P1040X460X1935-3","1",""
"U2","MC7815CDTRKG","","MC7805BDTRKG:DPAK229P990X238-4N","1",""
